stations,id_bss,code_stations,date,vigilance,alerte,alerte_renforcee,crise
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-08-01,267.24,266.74,266.47999999999996,266.27
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-09-01,266.75,266.02,265.64000000000004,265.33
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-10-01,266.55,265.52,264.97999999999996,264.54
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-11-01,266.9,265.71,265.09,264.57
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-12-01,267.95,266.5,265.74,265.12
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-01-01,161.91,161.12,160.7,160.36
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-02-01,162.02,161.22,160.81,160.46
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-03-01,162.05,161.28,160.88000000000002,160.55
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-04-01,162.02,161.31,160.93,160.62
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-05-01,162.07,161.4,161.04,160.75
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-06-01,161.82000000000002,161.25,160.95000000000002,160.70999999999998
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-07-01,161.35000000000002,160.76999999999998,160.46,160.20999999999998
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-08-01,161.04,160.47,160.18,159.93
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-09-01,160.94,160.35000000000002,160.04,159.79
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-10-01,161.17,160.46,160.1,159.79
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-11-01,161.43,160.69,160.31,159.99
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH,BSS001ZAGC,08188X0045/BERN,2025-12-01,161.70999999999998,160.89000000000001,160.47,160.12
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-01-01,169.57,168.9,168.56,168.26999999999998
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-02-01,169.55,168.91,168.58,168.3
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-03-01,169.55,168.92000000000002,168.59,168.32000000000002
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-04-01,169.52,168.9,168.58,168.31
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-05-01,169.51,168.88000000000002,168.56,168.29
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-06-01,169.5,168.87,168.54,168.26999999999998
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-07-01,169.48000000000002,168.85000000000002,168.52,168.25
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-08-01,169.47,168.83,168.5,168.23
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-09-01,169.46,168.82000000000002,168.48000000000002,168.20999999999998
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-10-01,169.46,168.79,168.44,168.15
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-11-01,169.45000000000002,168.76999999999998,168.41,168.10999999999999
PZ4 AVAL CET,BSS004NBZY,BSS004NBZY/X,2025-12-01,169.44,168.76,168.41,168.10999999999999
