stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Août;250.1;249.8;249.65;249.52
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Septembre;250.04;249.72;249.55;249.41
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Octobre;250;249.68;249.51;249.38
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Novembre;250.05;249.74;249.57;249.44
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Décembre;250.13;249.85;249.7;249.58
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Janvier;250.21;249.96;249.83;249.72
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Février;250.28;250.01;249.87;249.75
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Mars;250.3;249.98;249.81;249.67
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Avril;250.29;249.99;249.83;249.7
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Mai;250.29;249.99;249.83;249.7
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Juin;250.26;249.97;249.82;249.69
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Juillet;250.16;249.88;249.73;249.61
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Août;250.1;249.8;249.65;249.52
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Septembre;250.04;249.72;249.55;249.41
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Octobre;250;249.68;249.51;249.38
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Novembre;250.05;249.74;249.57;249.44
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38);BSS001WPWZ;07725X0071/F3);Décembre;250.13;249.85;249.7;249.58
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Janvier;248.3;247.61;247.24;246.94
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Février;248.34;247.64;247.28;246.97
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Mars;248.35;247.65;247.29;246.99
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Avril;248.32;247.64;247.28;246.99
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Mai;248.26;247.53;247.15;246.84
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Juin;248.05;247.4;247.05;246.77
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Juillet;247.52;246.87;246.54;246.26
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Août;247.32;246.68;246.34;246.07
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Septembre;247.65;247;246.66;246.38
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Octobre;247.92;247.24;246.88;246.59
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Novembre;248.1;247.38;247;246.69
PUITS - DEROUX (MARGES - BRGM 26);BSS001XLSB;07944X0049/S;Décembre;248.19;247.45;247.07;246.75
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Janvier;164.14;163.87;163.74;163.62
